accession;organism;description;basepairs;date;country;plasmid_name;plasmid_type;inc_type;transposon;beta-lactamases;beta-lactamases_range;kpc_type;kpc_start;kpc_end;integronfinder
CP018668.1;Klebsiella pneumoniae;strain CAV1042 plasmid pKPC_CAV1042-44, complete sequence;44245;19-DEC-2016;USA;pKPC_CAV1042-44;64;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 10203 - 11084] [TEM-1: 20087 - 20947] ;KPC-2;10203;11084; No Integron found
CP018669.1;Klebsiella pneumoniae;strain CAV1042 plasmid pKPC_CAV1042-89, complete sequence;89955;19-DEC-2016;USA;pKPC_CAV1042-89;64;IncL/M;[unknown] ;KPC-2 SHV-189 ;[KPC-2: 57623 - 58504] [SHV-189: 44916 - 45776] ;KPC-2;57623;58504;[integron_01: 67069 - 70434] 
CP018675.1;Klebsiella pneumoniae;strain CAV1217 plasmid pKPC_CAV1217, complete sequence;184028;19-DEC-2016;USA;pKPC_CAV1217;27;IncFIB;[unknown] ;KPC-4 ;[KPC-4: 133619 - 134500] ;KPC-4;133619;134500; No Integron found
CP018815.1;Enterobacter cloacae;strain AR_0002 plasmid tig00000003, complete sequence;141942;27-DEC-2016;unknown;tig00000003;49;IncFIA;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 73565 - 74446] [TEM-181: 60722 - 61582] [OXA-9: 62282 - 63106] ;KPC-3;73565;74446;[integron_01: 45321 - 47330] [integron_02: 61765 - 64629] 
CP018884.1;Klebsiella pneumoniae;subsp. pneumoniae strain BR7 plasmid unnamed1, complete sequence;123604;02-FEB-2018;Brazil;unnamed1;69;IncFIB;[Tn3] ;KPC-2 CTX-M-15 TEM-1 ;[KPC-2: 58215 - 59096] [CTX-M-15: 34949 - 35824] [TEM-1: 31267 - 32127] ;KPC-2;58215;59096;[integron_01: 81956 - 85004] [integron_02: 94040 - 94119] 
CP018887.1;Klebsiella pneumoniae;subsp. pneumoniae strain BR21 plasmid pIncN, complete sequence;124969;02-FEB-2018;Brazil;pIncN;68;IncFIB;[unknown] ;KPC-2 OXA-1 ;[KPC-2: 95015 - 95896] [OXA-1: 73935 - 74765] ;KPC-2;95015;95896;[integron_01: 45918 - 45997] [integron_02: 55033 - 58051] [integron_03: 73249 - 75495] 
CP018945.1;Escherichia coli;strain Ecol_224 plasmid pEC224_KPC, complete sequence;56228;03-MAR-2017;Viet Nam;pEC224_KPC;82;IncN;[Tn3] ;KPC-2 ;[KPC-2: 34233 - 35114] ;KPC-2;34233;35114;[integron_01: 834 - 5338] 
CP018949.1;Escherichia coli;strain Ecol_276 plasmid pEC276_KPC, complete sequence;16796;03-MAR-2017;USA;pEC276_KPC;16;unknown;[unknown] ;KPC-2 ;[KPC-2: 4629 - 5510] ;KPC-2;4629;5510; No Integron found
CP018956.1;Escherichia coli;strain Ecol_316 plasmid pEC316_KPC, complete sequence;219315;03-MAR-2017;USA;pEC316_KPC;20;IncA/C2;[Tn21] [Tn3] ;KPC-2 TEM-191 ;[KPC-2: 190405 - 191286] [TEM-191: 167139 - 167999] ;KPC-2;190405;191286;[integron_01: 174102 - 177024] 
CP018959.1;Escherichia coli;strain Ecol_422 plasmid pEC422_KPC, complete sequence;52627;03-MAR-2017;Ecuador;pEC422_KPC;82;IncN;[Tn3] ;KPC-2 OXA-1 TEM-40 ;[KPC-2: 36541 - 37422] [OXA-1: 12977 - 13807] [TEM-40: 37644 - 38213] ;KPC-2;36541;37422;[integron_01: 10987 - 15684] 
CP018963.1;Escherichia coli;strain Ecol_517 plasmid pEC517_KPC, complete sequence;55425;03-MAR-2017;Brazil;pEC517_KPC;68;IncN;[unknown] ;KPC-2 ;[KPC-2: 29270 - 30151] ;KPC-2;29270;30151; No Integron found
CP018968.1;Escherichia coli;strain Ecol_542 plasmid pEC542_KPC, complete sequence;44954;03-MAR-2017;Viet Nam;pEC542_KPC;139;IncP;[Tn3] ;KPC-2 TEM-40 ;[KPC-2: 38859 - 39740] [TEM-40: 39951 - 40520] ;KPC-2;38859;39740; No Integron found
CP018974.1;Escherichia coli;strain Ecol_545 plasmid pEC545_KPC, complete sequence;71889;03-MAR-2017;Viet Nam;pEC545_KPC;115;IncL/M;[Tn3] ;KPC-2 OXA-1 TEM-40 ;[KPC-2: 57123 - 58004] [OXA-1: 51136 - 51966] [TEM-40: 56343 - 56912] ;KPC-2;57123;58004;[integron_01: 50406 - 53174] 
CP018977.1;Escherichia coli;strain Ecol_656 plasmid pEC656_KPC, complete sequence;59266;03-MAR-2017;USA;pEC656_KPC;68;IncN;[unknown] ;KPC-2 ;[KPC-2: 29270 - 30151] ;KPC-2;29270;30151;[integron_01: 50897 - 53089] 
CP018981.1;Escherichia coli;strain Ecol_867 plasmid pEC867_KPC, complete sequence;14230;03-MAR-2017;Canada;pEC867_KPC;16;unknown;[unknown] ;KPC-3 ;[KPC-3: 12762 - 13643] ;KPC-3;12762;13643; No Integron found
CP018989.1;Escherichia coli;strain Ecol_AZ146 plasmid pECAZ146_KPC, complete sequence;87092;03-MAR-2017;Italy;pECAZ146_KPC;60;IncFIA;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 5680 - 6561] [TEM-181: 79499 - 80359] [OXA-9: 81059 - 81883] ;KPC-2;5680;6561; No Integron found
CP018992.1;Escherichia coli;strain Ecol_AZ147 plasmid pECAZ147_KPC, complete sequence;111801;03-MAR-2017;Israel;pECAZ147_KPC;60;IncFIB;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 65579 - 66460] [TEM-181: 77646 - 78506] [OXA-9: 76122 - 76946] ;KPC-3;65579;66460;[integron_01: 100912 - 100991] 
CP018999.1;Escherichia coli;strain Ecol_AZ153 plasmid pECAZ153_KPC, complete sequence;148251;03-MAR-2017;China;pECAZ153_KPC;50;IncQ1;[Tn3] ;KPC-2 TEM-40 ;[KPC-2: 143422 - 144303] [TEM-40: 97914 - 98774] ;KPC-2;143422;144303;[integron_01: 9147 - 11320] 
CP019001.1;Escherichia coli;strain Ecol_AZ155 plasmid pECAZ155_KPC, complete sequence;276091;03-MAR-2017;China;pECAZ155_KPC;9;IncA/C2;[Tn3] [Tn21] ;CMY-2 KPC-2 ;[CMY-2: 186683 - 187828] [KPC-2: 83397 - 84278] ;KPC-2;83397;84278;[integron_01: 95228 - 97342] 
CP019006.1;Escherichia coli;strain Ecol_AZ159 plasmid pECAZ159_2, complete sequence;48211;03-MAR-2017;Colombia;pECAZ159_2;136;IncN;[Tn3] ;KPC-2 TEM-40 ;[KPC-2: 36561 - 37442] [TEM-40: 37664 - 38233] ;KPC-2;36561;37442;[integron_01: 12049 - 16553] 
CP019010.1;Escherichia coli;strain Ecol_AZ161 plasmid pECAZ161_KPC, complete sequence;56543;03-MAR-2017;USA;pECAZ161_KPC;81;unknown;[Tn3] ;KPC-3 TEM-181 ;[KPC-3: 54616 - 55497] [TEM-181: 32506 - 33366] ;KPC-3;54616;55497; No Integron found
CP019014.1;Escherichia coli;strain Ecol_AZ162 plasmid pECAZ162_KPC, complete sequence;144870;03-MAR-2017;USA;pECAZ162_KPC;56;IncFIA;[unknown] ;KPC-3 ;[KPC-3: 6006 - 6887] ;KPC-3;6006;6887;[integron_01: 40993 - 44109] 
CP019017.1;Escherichia coli;strain Ecol_244 plasmid pEC244_KPC, complete sequence;74514;03-MAR-2017;Argentina;pEC244_KPC;98;unknown;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 32230 - 33111] [TEM-181: 22111 - 22971] [OXA-9: 20587 - 21411] ;KPC-2;32230;33111;[integron_01: 4866 - 5810] [integron_02: 52309 - 59646] 
CP019026.1;Escherichia coli;strain Ecol_881 plasmid pEC881_KPC, complete sequence;60222;03-MAR-2017;Colombia;pEC881_KPC;82;IncN;[Tn3] ;KPC-2 TEM-40 ;[KPC-2: 42692 - 43573] [TEM-40: 41901 - 42470] ;KPC-2;42692;43573;[integron_01: 9674 - 14178] 
CP019774.1;Klebsiella pneumoniae;subsp. pneumoniae strain KPN_KPC_HUG_07 plasmid p2, complete sequence;115703;28-FEB-2017;Switzerland;p2;60;IncFIB;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 73524 - 74405] [TEM-181: 85591 - 86451] [OXA-9: 84067 - 84891] ;KPC-3;73524;74405;[integron_01: 108883 - 108962] 
CP020059.1;Escherichia coli;strain AR_0061 plasmid unitig_1, complete sequence;89239;21-MAR-2017;unknown;unitig_1;96;IncN;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 46823 - 47704] [TEM-181: 14063 - 14923] [OXA-9: 15623 - 16447] ;KPC-3;46823;47704;[integron_01: 15106 - 17970] [integron_02: 70756 - 72849] 
CP020066.1;Klebsiella pneumoniae;strain AR_0117 plasmid unitig_5, complete sequence;73702;21-MAR-2017;unknown;unitig_5;16;IncN;[Tn3] ;KPC-3 ;[KPC-3: 53608 - 54489] ;KPC-3;53608;54489;[integron_01: 28463 - 30556] [integron_02: 63493 - 64437] 
CP020075.1;Klebsiella pneumoniae;strain AR_0115 plasmid tig00000005, complete sequence;22378;21-MAR-2017;unknown;tig00000005;16;unknown;[Tn3] ;KPC-3 TEM-181 ;[KPC-3: 10369 - 11250] [TEM-181: 505 - 1365] ;KPC-3;10369;11250; No Integron found
CP020110.1;Klebsiella pneumoniae;strain AR_0098 plasmid tig00000002, complete sequence;74517;21-MAR-2017;unknown;tig00000002;98;unknown;[Tn1721] [Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 20129 - 21010] [TEM-181: 8083 - 8943] [OXA-9: 9643 - 10467] ;KPC-2;20129;21010;[integron_01: 40208 - 47545] [integron_02: 66232 - 67176] 
CP020119.1;Escherichia coli;strain AR_0104 plasmid unitig_7, complete sequence;52251;21-MAR-2017;unknown;unitig_7;16;IncN;[Tn3] ;KPC-4 TEM-181 ;[KPC-4: 10331 - 11212] [TEM-181: 16930 - 17790] ;KPC-4;10331;11212;[integron_01: 42181 - 44274] 
CP020359.1;Klebsiella oxytoca;strain AR_0147 plasmid unitig_2, complete sequence;112287;27-MAR-2017;unknown;unitig_2;80;unknown;[unknown] ;KPC-3 ;[KPC-3: 37410 - 38291] ;KPC-3;37410;38291;[integron_01: 60831 - 63030] 
CP021195.1;Escherichia coli;strain H17 plasmid pH17-2, complete sequence;109333;06-JUN-2018;China;pH17-2;83;unknown;[Tn1721] [Tn3] ;KPC-2 ;[KPC-2: 50650 - 51531] ;KPC-2;50650;51531; No Integron found
CP021328.1;Raoultella ornithinolytica;strain Ro24724 plasmid pRo24724, complete sequence;452992;05-JUL-2017;China;pRo24724;2;IncFIB;[Tn21] [Tn3] ;KPC-2 SHV-12 IMP-4 ;[KPC-2: 177055 - 177936] [SHV-12: 206140 - 207000] [IMP-4: 366938 - 367678] ;KPC-2;177055;177936;[integron_01: 76740 - 78947] [integron_02: 180035 - 185752] [integron_03: 365772 - 370137] 
CP021546.1;Klebsiella pneumoniae;strain AR_0112 plasmid tig00000002, complete sequence;75727;08-JUN-2017;unknown;tig00000002;104;IncI2;[Tn3] ;KPC-3 TEM-181 ;[KPC-3: 21505 - 22386] [TEM-181: 31390 - 32250] ;KPC-3;21505;22386; No Integron found
CP021548.1;Klebsiella pneumoniae;strain AR_0112 plasmid tig00000005, complete sequence;22957;08-JUN-2017;unknown;tig00000005;16;unknown;[Tn3] ;KPC-3 ;[KPC-3: 9011 - 9892] ;KPC-3;9011;9892;[integron_01: 21696 - 22631] 
CP021695.1;Proteus mirabilis;strain AR_0155 plasmid tig00000123, complete sequence;217505;08-JUN-2017;unknown;tig00000123;21;IncA/C2;[unknown] ;KPC-6 ;[KPC-6: 184231 - 185112] ;KPC-6;184231;185112;[integron_01: 198493 - 201294] 
CP021716.1;Klebsiella pneumoniae;strain AR_0129 plasmid tig00000003, complete sequence;44122;08-JUN-2017;unknown;tig00000003;64;unknown;[Tn3] ;KPC-3 TEM-168 ;[KPC-3: 32839 - 33720] [TEM-168: 42724 - 43500] ;KPC-3;32839;33720; No Integron found
CP021734.1;Escherichia coli;strain AR_0114 plasmid unitig_2, complete sequence;86413;13-JUN-2017;unknown;unitig_2;84;IncY;[Tn3] ;KPC-3 TEM-1 ;[KPC-3: 40795 - 41676] [TEM-1: 30931 - 31791] ;KPC-3;40795;41676;[integron_01: 66517 - 68690] 
CP021743.1;Klebsiella pneumoniae;strain AR_0126 plasmid tig00000003, complete sequence;44244;13-JUN-2017;unknown;tig00000003;64;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 7373 - 8254] [TEM-1: 17257 - 18117] ;KPC-2;7373;8254; No Integron found
CP021750.1;Enterobacter cloacae;strain AR_0163 plasmid tig00000258, complete sequence;44244;13-JUN-2017;unknown;tig00000258;64;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 32139 - 33020] [TEM-1: 42023 - 42883] ;KPC-2;32139;33020; No Integron found
CP021754.1;Klebsiella pneumoniae;strain AR_0113 plasmid unitig_3, complete sequence;75819;13-JUN-2017;unknown;unitig_3;104;IncI2;[Tn3] ;KPC-3 TEM-181 ;[KPC-3: 20570 - 21451] [TEM-181: 30455 - 31315] ;KPC-3;20570;21451; No Integron found
CP021756.1;Klebsiella pneumoniae;strain AR_0113 plasmid unitig_5, complete sequence;22956;13-JUN-2017;unknown;unitig_5;31;unknown;[Tn3] ;KPC-3 ;[KPC-3: 21326 - 22207] ;KPC-3;21326;22207;[integron_01: 11378 - 12322] 
CP021778.1;Enterobacter cloacae;strain AR_0053 plasmid unitig_3, complete sequence;72977;13-JUN-2017;unknown;unitig_3;13;IncFIA;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 55417 - 56298] [TEM-181: 42574 - 43434] [OXA-9: 44134 - 44958] ;KPC-3;55417;56298;[integron_01: 27173 - 29182] [integron_02: 43617 - 46481] 
CP021835.1;Klebsiella pneumoniae;strain AR_0120 plasmid tig00000516_pilon, complete sequence;213046;16-JUN-2017;unknown;tig00000516_pilon;22;IncA/C2;[Tn21] [Tn3] ;KPC-2 TEM-191 ;[KPC-2: 145838 - 146719] [TEM-191: 169125 - 169985] ;KPC-2;145838;146719;[integron_01: 160100 - 163022] 
CP021853.1;Proteus mirabilis;strain AR_0156 plasmid unitig_1, complete sequence;182838;16-JUN-2017;unknown;unitig_1;28;IncA/C2;[Tn21] [Tn3] ;KPC-2 OXA-10 ;[KPC-2: 72174 - 73055] [OXA-10: 178861 - 179661] ;KPC-2;72174;73055;[integron_01: 1 - 180262] [integron_02: 83424 - 86160] 
CP021860.1;Klebsiella pneumoniae;strain AR_0125 plasmid tig00000007_pilon, complete sequence;25103;16-JUN-2017;unknown;tig00000007_pilon;31;unknown;[Tn3] ;KPC-3 ;[KPC-3: 2709 - 3590] ;KPC-3;2709;3590;[integron_01: 16764 - 17708] 
CP021861.1;Klebsiella pneumoniae;strain AR_0125 plasmid tig00000009_pilon, complete sequence;80625;16-JUN-2017;unknown;tig00000009_pilon;104;IncI2;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 62233 - 63114] [TEM-181: 49322 - 50182] [OXA-9: 50882 - 51706] ;KPC-3;62233;63114;[integron_01: 50365 - 53229] 
CP021899.1;Enterobacter cloacae;strain AR_0050 plasmid unitig_4_pilon, complete sequence;70630;20-JUN-2017;unknown;unitig_4_pilon;100;IncN;[Tn1721] [Tn3] ;KPC-4 TEM-181 ;[KPC-4: 14939 - 15820] [TEM-181: 8361 - 9221] ;KPC-4;14939;15820;[integron_01: 26569 - 29258] [integron_02: 51559 - 53652] 
CP021900.1;Enterobacter cloacae;strain AR_0136 plasmid tig00001437_pilon, complete sequence;64389;20-JUN-2017;unknown;tig00001437_pilon;13;IncFIA;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 59694 - 60575] [TEM-181: 46851 - 47711] [OXA-9: 48411 - 49235] ;KPC-3;59694;60575;[integron_01: 47894 - 50758] 
CP022275.1;Citrobacter freundii;strain 18-1 plasmid pBKPC18-1, complete sequence;146894;06-JUL-2017;China;pBKPC18-1;52;IncFIA;[Tn3] ;KPC-2 ;[KPC-2: 79556 - 80437] ;KPC-2;79556;80437; No Integron found
CP022276.1;Citrobacter freundii;strain 18-1 plasmid pCKPC18-1, complete sequence;47838;06-JUL-2017;China;pCKPC18-1;7;unknown;[Tn1721] [Tn3] ;KPC-2 ;[KPC-2: 4856 - 5737] ;KPC-2;4856;5737; No Integron found
CP022349.1;Klebsiella michiganensis;strain K516 plasmid pK516_KPC, complete sequence;128690;12-JUL-2017;China;pK516_KPC;52;IncFIA;[Tn3] ;KPC-2 ;[KPC-2: 23815 - 24696] ;KPC-2;23815;24696; No Integron found
CP022574.1;Klebsiella pneumoniae;strain BIC-1 plasmid pBIC-1a, complete sequence;172850;08-AUG-2017;France;pBIC-1a;17;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 9419 - 10300] [TEM-181: 167855 - 168715] [OXA-9: 166331 - 167155] ;KPC-2;9419;10300; No Integron found
CP022693.1;Klebsiella pneumoniae;subsp. pneumoniae strain AUSMDU00008079 plasmid pAUSMDU8079-2, complete sequence;115263;14-AUG-2017;Australia;pAUSMDU8079-2;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 37261 - 38142] [TEM-181: 25215 - 26075] [OXA-9: 26775 - 27599] ;KPC-2;37261;38142;[integron_01: 2703 - 2782] 
CP022698.1;Citrobacter farmeri;strain AUSMDU00008141 plasmid pAUSMDU8141-3, complete sequence;108782;14-AUG-2017;Australia;pAUSMDU8141-3;60;unknown;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 80788 - 81669] [TEM-181: 92855 - 93715] [OXA-9: 91331 - 92155] ;KPC-2;80788;81669; No Integron found
CP023186.1;Klebsiella michiganensis;strain K518 plasmid pK518_KPC, complete sequence;128659;12-SEP-2017;China;pK518_KPC;52;IncFIA;[Tn3] ;KPC-2 ;[KPC-2: 40861 - 41742] ;KPC-2;40861;41742; No Integron found
CP023443.1;Klebsiella pneumoniae;strain CCUG 70747 plasmid pKpn70747_2, complete sequence;119543;06-JUN-2018;Sweden;pKpn70747_2;73;unknown;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 54565 - 55446] [TEM-181: 66632 - 67492] [OXA-9: 65108 - 65932] ;KPC-2;54565;55446; No Integron found
CP023480.1;Klebsiella quasipneumoniae;strain KPC142 plasmid pKQPS142b, complete sequence;11108;27-MAR-2018;Brazil;pKQPS142b;149;IncQ1;[Tn3] ;KPC-2 ;[KPC-2: 3328 - 4209] ;KPC-2;3328;4209; No Integron found
CP023875.1;Raoultella planticola;strain FDAARGOS_429 plasmid unnamed;265931;18-OCT-2017;Canada;unnamed;10;IncN;[unknown] ;KPC-3 KPC-3 ;[KPC-3: 83039 - 83920] [KPC-3: 258554 - 259434] ;KPC-3;83039;83920;[integron_01: 51657 - 53786] 
CP023878.1;Klebsiella oxytoca;strain FDAARGOS_430 plasmid unnamed;110158;18-OCT-2017;Canada;unnamed;82;IncN;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 46511 - 47392] [TEM-181: 59443 - 60303] [OXA-9: 57919 - 58743] ;KPC-3;46511;47392;[integron_01: 376 - 1527] [integron_02: 56396 - 59260] [integron_03: 91631 - 93724] 
CP023894.1;Raoultella ornithinolytica;strain FDAARGOS_431 plasmid unnamed3, complete sequence;72286;18-OCT-2017;Canada;unnamed3;82;IncN;[unknown] ;KPC-3 ;[KPC-3: 3545 - 4426] ;KPC-3;3545;4426;[integron_01: 43428 - 45521] 
CP023928.1;Klebsiella pneumoniae;strain FDAARGOS_442 plasmid unnamed1, complete sequence;115263;18-OCT-2017;Canada;unnamed1;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 92318 - 93199] [TEM-181: 80272 - 81132] [OXA-9: 81832 - 82656] ;KPC-2;92318;93199;[integron_01: 57760 - 57839] 
CP023938.1;Klebsiella pneumoniae;strain FDAARGOS_443 plasmid unnamed2, complete sequence;92370;18-OCT-2017;Canada;unnamed2;26;unknown;[Tn3] [Tn1721] ;KPC-2 SHV-12 ;[KPC-2: 23572 - 24453] [SHV-12: 44331 - 45191] ;KPC-2;23572;24453; No Integron found
CP023942.1;Klebsiella pneumoniae;strain FDAARGOS_444 plasmid unnamed2;190611;18-OCT-2017;Canada;unnamed2;26;unknown;[Tn3] ;KPC-2 CTX-M-65 TEM-1 ;[KPC-2: 85218 - 86099] [CTX-M-65: 152652 - 153527] [TEM-1: 144842 - 145702] ;KPC-2;85218;86099; No Integron found
CP023952.1;Klebsiella pneumoniae;strain FDAARGOS_447 plasmid unnamed1, complete sequence;210771;18-OCT-2017;Canada;unnamed1;22;IncA/C2;[Tn21] [Tn3] ;KPC-2 TEM-191 ;[KPC-2: 183377 - 184258] [TEM-191: 206684 - 207544] ;KPC-2;183377;184258;[integron_01: 197659 - 200581] 
CP024910.1;Enterobacter cloacae;strain OSUKPC4_L plasmid pOSUKPC4, complete sequence;356832;06-JUN-2018;USA;pOSUKPC4;4;IncHI2A;[unknown] ;KPC-4 OXA-129 ;[KPC-4: 229442 - 230323] [OXA-129: 104771 - 105574] ;KPC-4;229442;230323;[integron_01: 102996 - 106982] 
CP025006.1;Klebsiella pneumoniae;strain AUSMDU00003562 plasmid pAUSMDU3562-1, complete sequence;169765;06-DEC-2017;Australia;pAUSMDU3562-1;17;IncFIB;[unknown] ;KPC-2 ;[KPC-2: 86567 - 87448] ;KPC-2;86567;87448; No Integron found
CP025009.1;Klebsiella pneumoniae;strain AUSMDU00008119 plasmid pAUSMDU8119-1, complete sequence;178564;06-DEC-2017;Australia;pAUSMDU8119-1;31;IncFIB;[Tn3] ;KPC-2 ;[KPC-2: 95243 - 96124] ;KPC-2;95243;96124;[integron_01: 89936 - 90880] 
CP025010.1;Klebsiella pneumoniae;strain AUSMDU00008119 plasmid pAUSMDU8119-2, complete sequence;119891;06-DEC-2017;Australia;pAUSMDU8119-2;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 41826 - 42707] [TEM-181: 25215 - 26075] [OXA-9: 26775 - 27599] ;KPC-2;41826;42707;[integron_01: 2703 - 2782] [integron_02: 36519 - 37463] 
CP025039.1;Klebsiella pneumoniae;strain NU-CRE047 plasmid pNU-CRE047_2, complete sequence;148785;06-DEC-2017;USA;pNU-CRE047_2;49;IncFIA;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 23846 - 24727] [TEM-181: 36710 - 37570] [OXA-9: 35186 - 36010] ;KPC-3;23846;24727;[integron_01: 33663 - 36527] [integron_02: 50962 - 52971] 
CP025141.1;Klebsiella pneumoniae;strain KP1768 plasmid KP1768_p1, complete sequence;207659;12-DEC-2017;USA;KP1768_p1;23;IncA/C2;[Tn21] [Tn3] ;KPC-2 TEM-191 ;[KPC-2: 87941 - 88822] [TEM-191: 111228 - 112088] ;KPC-2;87941;88822;[integron_01: 102203 - 105125] 
CP025144.1;Klebsiella pneumoniae;strain NR5632 plasmid NR5632_p1, complete sequence;207040;12-DEC-2017;USA;NR5632_p1;22;IncA/C2;[Tn21] [Tn3] ;KPC-33 TEM-191 ;[KPC-33: 87793 - 88674] [TEM-191: 111080 - 111940] ;KPC-33;87793;88674;[integron_01: 102055 - 104977] 
CP025147.1;Klebsiella pneumoniae;strain KP1766 plasmid KP1766_p1, complete sequence;208896;12-DEC-2017;USA;KP1766_p1;23;IncA/C2;[Tn21] [Tn3] ;KPC-2 TEM-191 ;[KPC-2: 93247 - 94128] [TEM-191: 116534 - 117394] ;KPC-2;93247;94128;[integron_01: 107509 - 110431] 
CP025148.1;Klebsiella pneumoniae;strain KP1766 plasmid KP1766_p2, complete sequence;164301;12-DEC-2017;USA;KP1766_p2;40;IncFIB;[unknown] ;KPC-2 ;[KPC-2: 106294 - 107175] ;KPC-2;106294;107175; No Integron found
CP025458.1;Klebsiella pneumoniae;strain KP69 plasmid p69-2, complete sequence;130400;28-DEC-2017;China;p69-2;66;unknown;[Tn3] ;KPC-2 CTX-M-65 SHV-12 TEM-1 ;[KPC-2: 109478 - 110359] [CTX-M-65: 52965 - 53840] [SHV-12: 103817 - 104677] [TEM-1: 70446 - 71306] ;KPC-2;109478;110359; No Integron found
CP025463.1;Klebsiella pneumoniae;strain F44 plasmid p44-2, complete sequence;163889;28-DEC-2017;China;p44-2;26;unknown;[Tn3] ;KPC-2 CTX-M-65 SHV-12 TEM-1 ;[KPC-2: 56800 - 57681] [CTX-M-65: 117968 - 118843] [SHV-12: 66497 - 67357] [TEM-1: 110152 - 111013] ;KPC-2;56800;57681; No Integron found
CP025468.1;Klebsiella pneumoniae;strain JS187 plasmid p187-2, complete sequence;131537;28-DEC-2017;China;p187-2;62;unknown;[Tn3] ;KPC-2 ;[KPC-2: 120538 - 121419] ;KPC-2;120538;121419; No Integron found
CP025710.1;Escherichia coli;strain YDC107 plasmid pYDC107_70, complete sequence;71378;12-JAN-2018;USA;pYDC107_70;16;IncN;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 45437 - 46318] [TEM-181: 32526 - 33386] [OXA-9: 34086 - 34910] ;KPC-3;45437;46318;[integron_01: 3639 - 5732] [integron_02: 33569 - 36433] 
CP025758.1;Citrobacter freundii;complex sp. CFNIH12 strain CFNIH2 plasmid pKPC-349c, complete sequence;63483;16-JAN-2018;USA;pKPC-349c;16;IncN;[Tn3] ;KPC-3 OXA-9 TEM-183 ;[KPC-3: 28239 - 29120] [OXA-9: 39647 - 40471] [TEM-183: 41171 - 41761] ;KPC-3;28239;29120;[integron_01: 3095 - 5188] [integron_02: 38124 - 42569] 
CP025952.1;Klebsiella pneumoniae;subsp. pneumoniae strain GD4 plasmid pKPGD4, complete sequence;173262;21-JAN-2018;China;pKPGD4;26;unknown;[Tn3] ;KPC-2 CTX-M-65 TEM-1 ;[KPC-2: 169260 - 170141] [CTX-M-65: 109521 - 110396] [TEM-1: 119441 - 120301] ;KPC-2;169260;170141; No Integron found
CP026123.1;Aeromonas sp.;ASNIH5 plasmid pKPC-b21f, complete sequence;24316;29-JAN-2018;USA;pKPC-b21f;16;unknown;[unknown] ;KPC-2 ;[KPC-2: 2748 - 3629] ;KPC-2;2748;3629;[integron_01: 21478 - 23973] 
CP026169.1;Leclercia sp.;LSNIH1 plasmid pKPC-79f0, complete sequence;59465;29-JAN-2018;USA;pKPC-79f0;82;IncN;[unknown] ;KPC-2 ;[KPC-2: 13724 - 14605] ;KPC-2;13724;14605;[integron_01: 39396 - 41489] 
CP026175.1;Klebsiella pneumoniae;strain KPNIH50 plasmid pKPC-0cc9, complete sequence;174720;29-JAN-2018;USA;pKPC-0cc9;33;IncFIB;[Tn21] ;KPC-2 ;[KPC-2: 108055 - 108936] ;KPC-2;108055;108936; No Integron found
CP026179.1;Klebsiella pneumoniae;strain KPNIH49 plasmid pKPC-224e, complete sequence;240965;29-JAN-2018;USA;pKPC-224e;15;IncN;[Tn21] [Tn3] ;KPC-2 SHV-12 TEM-181 OXA-9 ;[KPC-2: 74484 - 75365] [SHV-12: 82236 - 83096] [TEM-181: 21398 - 22258] [OXA-9: 19874 - 20698] ;KPC-2;74484;75365;[integron_01: 18351 - 21215] [integron_02: 63008 - 65251] 
